Afghanistan,Asia,547
Albania,Europe,5561
Algeria,Africa,4229
Angola,Africa,3060
Antigua and Barbuda,North America,18416
Argentina,South America,10604
Armenia,Asia,4380
Aruba,South America,25749
Australia,Oceania,55421
Austria,Europe,51348
Azerbaijan,Asia,4498
The Bahamas,North America,34831
Bahrain,Asia,25781
Bangladesh,Asia,1888
Barbados,North America,18132
Belarus,Europe,6477
Belgium,Europe,46366
Belize,North America,4914
Benin,Africa,954
Bhutan,Asia,3421
Bolivia,South America,3822
Bosnia and Herzegovina,Europe,5754
Botswana,Africa,8263
Brazil,South America,9343
Brunei Darussalam,Asia,30290
Bulgaria,Europe,9619
Burkina Faso,Africa,744
Burundi,Africa,309
Cabo Verde,Africa,3650
Cambodia,Asia,1635
Cameroon,Africa,1537
Canada,North America,46419
Central African Republic,Africa,440
Chad,Africa,888
Chile,South America,15777
China,Asia,10153
Colombia,South America,6680
Comoros,Africa,832
Democratic Republic of the Congo,Africa,495
Republic of Congo,Africa,2443
Costa Rica,North America,11895
Croatia,Europe,15059
Cyprus,Asia,28334
Czech Republic,Europe,23209
Denmark,Europe,59999
Djibouti,Africa,2218
Dominica,North America,7655
Dominican Republic,North America,8178
Ecuador,South America,6155
Egypt,Africa,3019
El Salvador,North America,4027
Equatorial Guinea,Africa,9140
Eritrea,Africa,1253
Estonia,Europe,23514
Eswatini,Africa,4205
Ethiopia,Africa,951
Fiji,Oceania,5950
Finland,Europe,49897
France,Europe,42472
Gabon,Africa,8031
The Gambia,Africa,778
Georgia,Asia,4661
Germany,Europe,47785
Ghana,Africa,2262
Greece,Europe,20571
Grenada,North America,11690
Guatemala,North America,4674
Guinea,Africa,926
Guinea-Bissau,Africa,865
Guyana,South America,4881
Haiti,North America,853
Honduras,North America,2569
Hong Kong SAR,Asia,50541
Hungary,Europe,17296
Iceland,Europe,68793
India,Asia,2198
Indonesia,Asia,4123
Islamic Republic of Iran,Asia,5820
Iraq,Asia,5758
Ireland,Europe,76911
Israel,Asia,42144
Italy,Europe,33352
Jamaica,North America,5617
Japan,Asia,41021
Jordan,Asia,4394
Kazakhstan,Asia,8763
Kenya,Africa,2010
Kiribati,Oceania,1598
Korea,Asia,31936
Kosovo,Europe,4446
Kuwait,Asia,29128
Kyrgyz Republic,Asia,1280
Lao P.D.R.,Asia,2931
Latvia,Europe,18522
Lebanon,Asia,9607
Lesotho,Africa,1372
Liberia,Africa,703
Libya,Africa,6835
Lithuania,Europe,19748
Luxembourg,Europe,112846
Macao SAR,Asia,86416
Madagascar,Africa,470
Malawi,Africa,366
Malaysia,Asia,11385
Maldives,Asia,15463
Mali,Africa,933
Malta,Europe,32021
Marshall Islands,Oceania,3866
Mauritania,Africa,1191
Mauritius,Africa,11693
Mexico,North America,9858
Micronesia,Oceania,3734
Moldova,Europe,3398
Mongolia,Asia,4150
Montenegro,Europe,8711
Morocco,Africa,3409
Mozambique,Africa,493
Myanmar,Asia,1238
Namibia,Africa,5675
Nauru,Oceania,8853
Nepal,Asia,965
Netherlands,Europe,53016
New Zealand,Oceania,41988
Nicaragua,North America,1983
Niger,Africa,487
Nigeria,Africa,2233
North Macedonia,Europe,6198
Norway,Europe,79733
Oman,Asia,18081
Pakistan,Asia,1357
Palau,Oceania,16632
Panama,North America,16629
Papua New Guinea,Oceania,2494
Paraguay,South America,5921
Peru,South America,7141
Philippines,Asia,3280
Poland,Europe,15629
Portugal,Europe,23310
Puerto Rico,North America,32328
Qatar,Asia,70288
Romania,Europe,12506
Russia,Asia,11191
Rwanda,Africa,829
Samoa,Oceania,4487
San Marino,Europe,48141
Saudi Arabia,Asia,22507
Senegal,Africa,1510
Serbia,Europe,7526
Seychelles,Africa,17154
Sierra Leone,Africa,516
Singapore,Asia,65627
Slovak Republic,Europe,20155
Slovenia,Europe,26621
Solomon Islands,Oceania,2357
RSA,Africa,6331
South Sudan,Africa,235
Spain,Europe,30631
Sri Lanka,Asia,3837
St. Kitts and Nevis,North America,18713
St. Lucia,North America,11088
St. Vincent and the Grenadines,North America,7826
Sudan,Africa,728
Suriname,South America,6158
Sweden,Europe,53004
Switzerland,Europe,82411
Taiwan Province of China,Asia,25447
Tajikistan,Asia,828
Tanzania,Africa,1172
Thailand,Asia,7607
Timor-Leste,Oceania,2422
Togo,Africa,682
Tonga,Oceania,4888
Trinidad and Tobago,South America,16243
Tunisia,Africa,3072
Turkey,Asia,8506
Turkmenistan,Asia,8430
Tuvalu,Oceania,4421
Uganda,Africa,759
Ukraine,Europe,3220
United Arab Emirates,Asia,39806
UK,Europe,42310
USA,North America,64767
Uruguay,South America,17118
Uzbekistan,Asia,1483
Vanuatu,Oceania,3230
Venezuela,South America,2724
Vietnam,Asia,2725
Yemen,Asia,918
Zambia,Africa,1343
Zimbabwe,Africa,1423
